"target_domain","source_domain","source_url","target_url","is_active","first_seen","last_seen","seen_quarters","openpagerank_score","majestic_rank","tranco_rank","openpagerank_rank"
"coindesk.com","chain.link","https://chain.link/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.44","11627","19938","64980"
"coindesk.com","bosfera.ru","https://bosfera.ru/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.43","152038","340057","69189"
"coindesk.com","bulawayo24.com","https://bulawayo24.com/","https://coindesk.com/","True","2025Q1","2026Q1","3","4.43","69093","72467","70008"
"coindesk.com","19fortyfive.com","https://19fortyfive.com/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.42","21781","13931","72248"
"cointelegraph.com","19fortyfive.com","https://19fortyfive.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.42","21781","13931","72248"
"coindesk.com","aerolab.co","https://aerolab.co/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.42","678274",,"72827"
"cointelegraph.com","aiagentstore.ai","https://aiagentstore.ai/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.42","537655",,"74529"
"cointelegraph.com","bulios.com","https://bulios.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.42","30703","98968","73605"
"coindesk.com","bulios.com","https://bulios.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.42","30703","98968","73605"
"cointelegraph.com","biznews.com","https://biznews.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.4","40426","130929","82050"
"coindesk.com","biznews.com","https://biznews.com/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.4","40426","130929","82050"
"coindesk.com","47news.ru","https://47news.ru/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.39","40966","56751","87467"
"coindesk.com","b9.com.br","https://b9.com.br/","https://coindesk.com/","True","2025Q2","2026Q1","4","4.39","116820","273511","86916"
"coindesk.com","americanfootballinternational.com","https://americanfootballinternational.com/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.37","126893","352338","100806"
"cointelegraph.com","armblog.net","https://armblog.net/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.37",,,"105121"
"coindesk.com","armblog.net","https://armblog.net/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.37",,,"105121"
"coindesk.com","artcollection.io","https://artcollection.io/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.37",,,"104744"
"coindesk.com","blockchaincommons.com","https://blockchaincommons.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.37","964751",,"99987"
"cointelegraph.com","blockchaincommons.com","https://blockchaincommons.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.37","964751",,"99987"
"coindesk.com","bossa.pl","https://bossa.pl/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.37","373253","188113","100942"
"cointelegraph.com","boxinginsider.com","https://boxinginsider.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","3","4.37","58777","221106","99500"
"cointelegraph.com","asiafinancial.com","https://asiafinancial.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.36","74623","225954","107074"
"coindesk.com","asiafinancial.com","https://asiafinancial.com/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.36","74623","225954","107074"
"cointelegraph.com","bitunix.com","https://bitunix.com/","https://cointelegraph.com/","True","2025Q4","2026Q1","2","4.36","180597","23779","113068"
"coindesk.com","appreciatewealth.com","https://appreciatewealth.com/","https://coindesk.com/","True","2025Q2","2026Q1","3","4.35","637606",,"131316"
"coindesk.com","btimesonline.com","https://btimesonline.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.35","254972","918358","130248"
"cointelegraph.com","btimesonline.com","https://btimesonline.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.35","254972","918358","130248"
"cointelegraph.com","3djuegos.com","https://3djuegos.com/","https://cointelegraph.com/","True","2025Q4","2026Q1","2","4.34","30336","40423","142678"
"cointelegraph.com","ambire.com","https://ambire.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.34","322669","271087","148580"
"coindesk.com","ambire.com","https://ambire.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.34","322669","271087","148580"
"coindesk.com","coin.dance","https://coin.dance/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.34","69874","258962","139978"
"cointelegraph.com","blazetrends.com","https://blazetrends.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","4","4.33","425227","985878","202059"
"cointelegraph.com","armchairarcade.com","https://armchairarcade.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.31","81259","276163","213780"
"cointelegraph.com","ascendex.com","https://ascendex.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.29","112254","102661","238905"
"cointelegraph.com","ampmedia.jp","https://ampmedia.jp/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.28","305138","404595","246252"
"cointelegraph.com","ai-online.com","https://ai-online.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","3","4.26","391519","831417","282392"
"cointelegraph.com","berlinglobal.org","https://berlinglobal.org/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.25",,,"300730"
"cointelegraph.com","bipc.com","https://bipc.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.25","126556","226650","302979"
"cointelegraph.com","anonhq.com","https://anonhq.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","3","4.24","155146","494040","322213"
"cointelegraph.com","b2b-cambodia.com","https://b2b-cambodia.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.24","350913",,"338678"
"cointelegraph.com","appsafrica.com","https://appsafrica.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","3","4.23","973191",,"349939"
"cointelegraph.com","appworks.tw","https://appworks.tw/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.22","563541",,"407756"
"cointelegraph.com","bitedge.com","https://bitedge.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.22","85764","284814","403238"
"cointelegraph.com","altusintel.com","https://altusintel.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","2","4.21",,,"506726"
"cointelegraph.com","braziljs.org","https://braziljs.org/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.21","964809",,"453244"
"cointelegraph.com","business-leaders.net","https://business-leaders.net/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.21",,,"433289"
"cointelegraph.com","beautimode.com","https://beautimode.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","2","4.2","631393","841564","574125"
"cointelegraph.com","bergamoesport.it","https://bergamoesport.it/","https://cointelegraph.com/","True","2025Q3","2026Q1","2","4.2",,,"511630"
"cointelegraph.com","basisonline.org","https://basisonline.org/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.18",,,"774812"
"cointelegraph.com","bitsgap.com","https://bitsgap.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.18","101722","224391","773378"
"cointelegraph.com","blackhatmea.com","https://blackhatmea.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","4.18","367799","923980","773500"
